<<<<<<< Updated upstream
product_id,product_name,product_title,product_brand,product_brand_url,customer_reviews,product_about,product_short_description,product_long_description,brand_story,Size,Weight,Electrical Ratings,Network Connectivity,Use,Integrations,Alexa App,Warranty and Service,Included in the Box,Setup Technology,Support,Brand,Color,Connector Type,No. of wires,Plug Format,Manufacturer,Part Number,Item Weight,Product Dimensions,Country of Origin,Item model number,Style,Pattern,Power Source,Item Package Quantity,Number Of Pieces,Measurement Accuracy,Mounting Type,Included Components,Batteries Included?,Batteries Required?,Warranty Description,Operation Mode,Current Rating,Operating Voltage,Contact Type,Item Dimensions LxWxH,Circuit Type,Contact Material,International Protection Rating,Switch Type,Material,Specification Met,Date First Available,ASIN,Certification,Usage,Voltage,Terminal,Actuator Type,Number of Positions,Is Discontinued By Manufacturer,Finish,Shape,Thickness,Wattage,Amperage Capacity,Cutting Diameter,Switch Style,Assembled Diameter,Controller Type,Control Method,Connectivity Protocol,Unit Count,Number of Items,Upper Temperature Rating,Light Type,Special Feature,Bulb Shape Size,Bulb Base,Incandescent Equivalent Wattage,Specific Uses For Product,Light Color,Color Temperature,Brightness,Connectivity Technology,Indoor/Outdoor Usage,Color Rendering Index,Power Consumption,Light Source Type,Light Source Wattage,Special Features,,Recommended Uses For Product,Amperage,Package Dimensions,Total Power Outlets,Lower Temperature Rating,Department,Maximum Power,Hardware Interface,Compatible Devices,Data Link Protocol,Display Style,Video Capture Resolution,Number of Channels,Installation Method,Spout Height,Handle Material,Accessory Connection Type,Minimum Efficiency Reporting Values (MERV),Battery Capacity,Number Of Poles,Assembly Required,Batteries,Type of Bulb,Battery Cell Type,Circuit Breaker Type,Wireless Communication Standard,Data Transfer Rate,Frequency Band Class,Model Name,Theme,Occasion,Coil Voltage,Maximum Switching Current,Maximum Switching Voltage,Measurement System,AC Adapter Current,Total USB Ports,Finish Type,Manufacturer recommended age,Number of Ports,Average Battery Life,Shade Material,Fixture Type,Installation Type,Max Number of Supported Devices
B089DR29T6,Amazon smart plug works with Alexa,Amazon Smart Plug | Works with Alexa | control lights with voice | easy to set up and use,Amazon,https://www.amazon.com/Amazon/b/ref=bl_dp_s_web_20784502011?ie=UTF8&node=20784502011&field-lbr_brands_browse-bin=Amazon,4.7,"Amazon Smart Plug works with Alexa to add voice control to any outlet. Certified for Humans - Struggle-free, tinker-free, stress-free. No patience neededit's actually simple. Schedule lights, fans, and appliances to turn on and off automatically, or control them remotely when youre away. Simple to set up and useplug in, open the Alexa app, and get started in minutes. Compact design keeps your second outlet free. No smart home hub requiredset up routines and schedules through the Alexa app.",,"Make your home smart
=======
id,name,long_description,brand,app_name,image_url,url
B089DR29T6,Amazon smart plug works with Alexa,"Make your home smart
>>>>>>> Stashed changes
Amazon Smart Plug lets you voice control your lights, fans, coffee makers, and more. All you need is an Alexa-enabled device like Echo, Fire TV, Fire tablet, Sonos One, or even just the Alexa app on your phone. With multiple Amazon Smart Plugs, you can control multiple outlets.
Set up helpful routines
Use the Alexa app to create routines for your Amazon Smart Plug that make life easier. For example, set a morning routine that turns on lights and your coffee maker with a single request.
Make it look like you're homeWith Away Lighting, Alexa can automatically turn connected lights on and off to make it look like youre home when youre away.
To use Away Lighting, all you need is a light connected to an Amazon Smart Plug and the Alexa app. Connect your plug to a lamp, then let Alexa know when you come and go. Learn about Away Lighting and more with Alexa Guard Plus.Use your Amazon Smart Plug to turn on and off compatible devices that have a mechanical on/off switch.
Certified for Humans
Introducing Certified for Humans, smart devices for non-experts. Struggle-free, tinker-free, and stress-free. No patience needed. Setup with Alexa is simple and after that, it only gets better. No more waiting on unresponsive devices or software updates to get started. Its smart home made easy. Learn more about Certified for Humans.
Every day is an earth day
You dont have to be an environmental scientist to make sustainable choices. We considered sustainability in the design of this smart plug. Heres how:
Device Packaging
99% of this devices packaging is made of wood fiber-based materials from responsibly managed forests or recycled sources.
Alexa
Track and manage the energy usage of your Alexa-connected devices with the energy dashboard in the Alexa app.
Part With Purpose
There may come a time when you want to recycle your device. Explore options with Amazon Second Chance.
Simple to set up and use
Step 1
Plug in Amazon Smart Plug. If your Alexa app says New plug found, go straight to Step 3.
Step 2
Tap the Devices icon in the lower right of the Alexa App, then click the + icon to get started.
Step 3
To use your device with Alexa, just say Alexa, turn on First Plug.
With Wi-Fi simple setup, you can make your home smart in a snap. All you need is the Alexa app to control your outlet from anywhere.",Amazon,ALEXA,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51yEWwZlHrL._AC_SY450_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjE0NTkyMzkzNTk2NzA1OjE3MDE5MDk4NDY6c3BfYXRmOjIwMDA2Njg0OTU1NTg2MTo6MDo6&url=%2FAmazon-smart-plug-works-with-Alexa%2Fdp%2FB089DR29T6%2Fref%3Dsr_1_1_ffob_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909846%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B09ZL14T3Y,Beysen YX WX01C Smart Plug,"Beysen Smart Plug Bluetooth Mesh
Beysen Smart Plug
Bluetooth Mesh Smart Plug
Works with Alexa devices only
Voice control
Remote control with Alexa APP
Plug & play in seconds
Bluetooth mesh network for more devices
Timer and Schedule
Specification
Power Supply: AC 110-240V, 50/60 Hz
Load Current: 10A Max. Resistive load
Compatible Device: Alexa only
Operation Temperature: -20 to 60C/-4 to 122
Features
Simple setup and use
Step1Ensure your Alexa Echo is workingAlexa app can control your Alexa Echo.
Step2Plug in Smart Plug then say Alexa, discovery devices  to Alexa Echo.
Step3It takes few seconds that the plug gets discovered and connected with your Alexa Echo.
Bluetooth Mesh Net for More Devices
The Bluetooth 5.0 smart plug can be setup a bluetooth mesh network, in the network you can control much more plugs than the wi-fi smart plugs.
Do not slow your wifi network.
Hand Free Voice Control
It allows you to control our smart plug through voice commands with Alexa Echo, which free your hands when you are busy.",Beysen,ALEXA,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51qLBYgCndL._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjE0NTkyMzkzNTk2NzA1OjE3MDE5MDk4NDY6c3BfYXRmOjMwMDA5MTQ3OTk5NDEwMjo6MDo6&url=%2FBeysen-YX-WX01C-Smart-Plug%2Fdp%2FB09ZL14T3Y%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909846%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B09XQRX2WL,SONOFF Monitoring Certified Assistant Supporting,"SONOFF S40 15A WiFi Smart Plug with Energy Monitoring
Play Video
Energy Monitoring SONOFF Energy Dashboard Alexa Energy Dashboard
Control your device from anywhere anytime
Forget to turn off the coffee maker? Just take out your phone and turn it off anywhere.
Remote Control Voice Control LAN Control NFC-Tag Cnotrol Share Control
Safety Design
ETL Certified: The SONOFF S40 has been rigorously tested for safety with ETL Certified ( Control Number: 5017124; ATM Issued: 24-Mar-2022)
Over-load Protection: When the limit power is exceeded or a short circuit occurs, the fuse automatically fuses to protect the device
Highest Flame-retardant: The Most flame-retardant grade V-0 device enclosure
Ultrasonic Machining: The fine ultrasonic Machining makes the shell non-removable and more secure",SONOFF,GOOGLEHOME,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51Sah9agMlL._AC_SX679_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjE0NTkyMzkzNTk2NzA1OjE3MDE5MDk4NDY6c3BfYXRmOjIwMDExMzk2NzE0NzY5ODo6MDo6&url=%2FSONOFF-Monitoring-Certified-Assistant-Supporting%2Fdp%2FB09XQRX2WL%2Fref%3Dsr_1_3_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909846%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B09P879CB2,Minoston Monitoring Weatherproof Assistant Compatible,"We are always here if you have any questions!
This wifi outdoor plug with an energy monitor works with the Smart Life app. It is not only a smart plug, but also an electricity and power meter. Via the power consumption history, it can be observed the power consumption of the device and reduce the power consumption according to the situation.
energy monitoring smart plug outdoor
Model Number MP22WP
Power 125 VAC, 60HZ
Loading 15 Amp Max
Remote Control (APP) Work with Minoston APP/ Smart Life APP/Tuya Smart APP
Voice Control Work with Alexa, Google Assistant
Frequency 2.4GHz ONLY (NOT SUPPROT 5GHZ)
OperatingTemperature Range -4 F~122 F (-20~50)
Power Monitoring Remote Control Voice Control Timer and Schedule Compact Design
Up to 310 Feet
Extent Wi-Fi Range Outdoor Smart Plug
This smart plug outdoor with power monitor has a powerful wireless range of up to 310ft in open areas.
Group Control
This outdoor smart plug can be grouped with other Wifi device to achieve 1-click control.
IP65 Smart Plug Waterproof
This smart plug is IP65 rating and it can be used indoors and outdoors. This power meter plug has a dust cover to protect it from dust and moisture.
Easy to Setup
This outdoor wifi plug is very easy to setup. It can be added by using bluetooth and will take less than 1 minute.
Share WiFi Plug with Others
You can share this wifi outdoor plug with your family or friends on the APP. Let them control the entire outlet with you.
Can this smart plug with power monitoring connect with 5Ghz Wi-Fi?
What app does this outdoor smart plug work with?
What should I do if the smart plug connection fails?
When adding manually, which option should I choose to add?
Are these smart plugs that work with alexa? How?
Outdoor Smart Plug
Energy Monitor Smart Plug
WI-FI Outdoor Dimmer Plug
Wi-Fi Outdoor Smart Plug
Wi-Fi Outdoor Smart Plug
Wi-Fi Outdoor Smart Plug
Energy Monitor Smart Plug
Smart Dual Plug
Model Number
MP22WP MP22WD MP24W MP22W MP23W MP22ZP MP24Z
Power
125VAC, 60Hz 125VAC, 60Hz 125VAC, 60Hz 125VAC, 60Hz 125VAC, 60Hz 125VAC, 60Hz 125VAC, 60Hz
Loading
15 Amp Max 400W 15 Amp Max 15 Amp Max 15 Amp Max 15 Amp Max 15 Amp Max
Temperature Range
-4 F-122 F (-20 C-50 C) -4 F-122 F (-20 C-50 C) -4 F-122 F (-20 C-50 C) -4 F-122 F (-20 C-50 C) -4 F-122 F (-20 C-50 C) -4 F-122 F (-20 C-50 C) -4 F-122 F (-20 C-50 C)
Setting Timer
      
Voice & Remote Control
      
Dimmer Function
      
Energy Monitoring
      
hub required
      
Number of Outlet
1 1 2 1 2 1 2",Minoston,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/618406UykKL._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyNjE0NTkyMzkzNTk2NzA1OjE3MDE5MDk4NDY6c3BfYXRmOjIwMDEzMzUyMTM3MjE5ODo6MDo6&url=%2FMinoston-Monitoring-Weatherproof-Assistant-Compatible%2Fdp%2FB09P879CB2%2Fref%3Dsr_1_4_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909846%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
B091FXLMS8,Kasa Smart Required Certified EP10P4,"Play Video
Compact Design
The smallest Kasa plug ever made. A compact design allows the use of the second plug on an outlet.
Compact Design Control From Anywhere Voice Control
Designed for Safety
This smart plug is UL Certified. Its flame-retardant shell (UL94-V0 PC) and nickel-plated phosphor bronze pins help to minimize burn hazards and provide more durable and stable connections.
Smaller Design, Smarter Features
Smart Schedules
Easily create an automated schedule for your appliances any day of the week following your daily routine.
Auto-Off Timer
Set a timer to turn off your connected device automatically as needed.
Away Mode
Automatically turns connected appliances on and off, such as lamps, to make it appear as if youre home when youre actually away.
Group Control
Combine your smart plug with other Kasa Smart devices for seamless control with a single tap on your phone.",Kasa Smart,KASA,"https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51L3mlb5BXL._AC_SX679_PIbundle-4,TopRight,0,0_SH20_.jpg",https://www.amazon.com/Kasa-Smart-Required-Certified-EP10P4/dp/B091FXLMS8/ref=sr_1_5?keywords=smart+plug+wifi&qid=1701909846&sr=8-5
B07RCNB2L3,TP Link Kasa Smart Wifi Plug,"Voice Control
Free up your hands by using simple voice commands with Alexa and Google Assistant.
Voice Control Control from Anywhere Grouping
Smart Actions
Create interactions with your plug and other Kasa products. Connect a lamp to your plug so that when your camera detects motion, your light turns on.
App Features
Scheduling
Schedule your connected devices to turn on and off automatically at specified times.
Count Down Timer
Set a timer for your connected appliance to automatically turn off when the time runs out.
Away Mode
Away Mode will automatically turn on and off connected appliances, like lamps, to make it appear as if you're home.
Run Time & Usage
View run times to track usage and cut down on energy consumption.
Simple Setup",Kasa Smart,KASA,"https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51zoLDBO0wL._AC_SX679_PIbundle-4,TopRight,0,0_SH20_.jpg",https://www.amazon.com/TP-Link-Kasa-Smart-Wifi-Plug/dp/B07RCNB2L3/ref=sr_1_6?keywords=smart+plug+wifi&qid=1701909846&sr=8-6
B09JZLXXRX,Smart Compatible Function Supports Required,"How to Pair with the APP
Download the APP by scanning QR or searching. Android5.0 or iOS 13.0 or above
Turn on the plug and put it close to the router when start pairing with APP. Set your Wi-Fi as 2.4G Wi-Fi for successful pairing
Press and hold the power button for 5-10 seconds until the indicator light will rapidly blink fast, EZ mode is available and wait for connected.
Or try the second way, re-press and hold the on/off button for 5 seconds when the indicator blinking fast, then indicator light become blinking slow, AP mode is available and wait for connected.
Note: When the socket changed network environment, you need to restore the factory settings (Remove the socket from outlet and plug in again, press and hold on to the power button for about 5-10 seconds), and then reconnect to the network
Only support 2.4Ghz WiFi while connecting with APP. Apply to home appliances which Max load power1200W,10A, please check the load of your appliance before plugging in.
Once connected, you can use your phone via 4G or 5G Wi-Fi to turn on/off the smart plug anywhere, Please keep the smart plug stay on 2.4G Wi-Fi range always.
Tips for Quick Connection:
If the indictor doesn't flash when you plug in the smart plug for first connection, please hold a 5-10 seconds press on the button of your smart plug and see if it's start flashing.
If the smart device can't be connected to Wi-Fi, please long press On/Off button for 5~10 seconds to reset the smart plug or change the Easy mode to AP mode which is more compatible.
The smart socket only works with 2.4 Ghz network. If your router broadcasts both 2.4 and 5 Ghz, please selected the 2.4 Ghz network with the app.
Please try to make your smart outlet and router as close as possible when first connection, you can change the place after connecting successfully.",GHome Smart,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/41PhI0WZjqL._AC_SX679_.jpg,https://www.amazon.com/Smart-Compatible-Function-Supports-Required/dp/B09JZLXXRX/ref=sr_1_7?keywords=smart+plug+wifi&qid=1701909846&sr=8-7
