id,name,brand,long_description,app_name,image_url,url
764123674,Google Nest Cam Indoor Wired Security Camera Snow,Google Nest,"
Google Nest 2 Megapixel Indoor Full HD Network Camera, Color, Snow
For remote surveillance needs, this network camera is best suited
Up to 1920 x 1080 video resolution
Provides night vision of objects at a distance of up to 15 ft
Full HD recording format for stunning, vivid video results with maximum efficiency
Infrared/Color night vision type for better usability and increased surveillance efficiency
Wall mount is cost-effective, reusable, and long-lasting
Day/Night feature for maximum efficiency and convenience
There is no need to restrict security camera to a fixed cable. Wireless camera offers utmost flexibility during and after installation.",GOOGLEHOME,https://i5.walmartimages.com//seo/Google-Nest-Cam-Indoor-Wired-Security-Camera-Snow_d24ef92a-3bcf-469a-9030-d410a9480303.cbf684d8ef735a0be3449307e536967b.jpeg,https://wrd.walmart.com/track?bt=1&eventST=click&plmt=sb-search-top~desktop~&pos=2&tax=3944_1229875_6357978_5718781_9232158&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FGoogle-Nest-Cam-Indoor-Wired-Security-Camera-Snow%2F764123674%3FadsRedirect%3Dtrue&adUid=862fedd7-55eb-480f-be5b-b10c6749a025&mloc=sb-search-top&pltfm=desktop&pgId=smart%20camera&pt=search&spQs=7759XYjYEMzMLUCm0MoENW8Z9ggzZaCM59e-c2TkaNg-MXN1O0ULMqR2LjxM6Ysnds5wTKCQ9wT_SljZse9pDMprBVGO3Ojnmq474xfTd16UGSaCJdARK12S3CHNWz0oYqIwKEC3hG2mKgvxoJoHgs_ODFiJbXwQ3gcmbQOMwPG3EXakyZOBmukFXRQvmGkUdVIJd1GZzG4EfvPdB6ycCA&storeId=5867&couponState=na&bkt=2482&/ip/Google-Nest-Cam-Indoor-Wired-Security-Camera-Snow/764123674
386164023,Google Nest Cam with Floodlight Snow,Google Nest,"
Google Nest 2 Megapixel Outdoor Full HD Network Camera, Color, Floodlight, Snow
Up to 1920 x 1080 resolution for surveillance in real-time
CMOS sensor is cheaper as compare to CCD and consumes less power while producing better HD videos
Up to 20 ft of night vision
Full HD recording format for a lively video quality experience with maximum dependability
Infrared/Color night vision type for better feasibility and increased surveillance productivity
AC power source type for your network camera provides optimal performance with maximum usability
Junction Box Mount mount type ensures optimal results and maximum convenience
Motion Detection feature for maximum productivity with added dependability
Wired & Wireless connectivity technology offers maximum visual convenience",GOOGLEHOME,https://i5.walmartimages.com//seo/Google-Nest-Cam-with-Floodlight-Snow_6d59ce52-6ed6-4ec0-b37f-2c08454201d1.7c993fe7db4b18ed5490e0ddc6980665.jpeg,https://wrd.walmart.com/track?bt=1&eventST=click&plmt=sb-search-top~desktop~&pos=3&tax=3944_1229875_6357978_5718781_9232158&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FGoogle-Nest-Cam-with-Floodlight-Snow%2F386164023%3FadsRedirect%3Dtrue&adUid=862fedd7-55eb-480f-be5b-b10c6749a025&mloc=sb-search-top&pltfm=desktop&pgId=smart%20camera&pt=search&spQs=b061HWZJuFLGJmvYuzSEf28Z9ggzZaCM59e-c2TkaNg-MXN1O0ULMqR2LjxM6Ysnds5wTKCQ9wT_SljZse9pDMprBVGO3Ojnmq474xfTd16UGSaCJdARK12S3CHNWz0oYqIwKEC3hG2mKgvxoJoHgs_ODFiJbXwQ3gcmbQOMwPG3EXakyZOBmukFXRQvmGkUdVIJd1GZzG4EfvPdB6ycCA&storeId=5867&couponState=na&bkt=2482&/ip/Google-Nest-Cam-with-Floodlight-Snow/386164023
783652471,Nest x Yale Lock Satin Nickel with Nest Connect,Nest,"
The connected lock for a more secure Nest home. 
Keyless deadbolt. It's secure and tamper-proof. No lost keys. No picked locks. 
One-touch locking. Just tap to lock on your way out. 
Remote access. Lock and unlock the door with the Nest app. Without a key. Auto Lock it can lock automatically when you're away
Unique passcodes. Give passcodes to family and guests. Set schedules to let them in. Works with Nest Secure alarm system. Unlock the door, and the alarm disarms automatically. 
Access history. Get alerts when someone locks and unlocks the door.  

*Some features, including mobile alerts, remote control and custom schedules, require the Nest app, working internet and Wi-Fi, and Nest Connect or Nest Guard. Notifications are provided for convenience and should not replace ordinary care in locking your door.",NEST,https://i5.walmartimages.com//seo/Nest-x-Yale-Lock-Satin-Nickel-with-Nest-Connect_e7d9d711-1301-4f2f-8080-db415abaea8d_3.adf88a1bcfe24a871b78f7f91068918b.jpeg,https://wrd.walmart.com/track?bt=1&eventST=click&plmt=sb-search-top~desktop~&pos=4&tax=3944_1229875_6357978_5718781_9232158&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FNest-x-Yale-Lock-Satin-Nickel-with-Nest-Connect%2F783652471%3FadsRedirect%3Dtrue&adUid=862fedd7-55eb-480f-be5b-b10c6749a025&mloc=sb-search-top&pltfm=desktop&pgId=smart%20camera&pt=search&spQs=baiHdUFZf7ePcgv8JOXg1G8Z9ggzZaCM59e-c2TkaNg-MXN1O0ULMqR2LjxM6Ysnds5wTKCQ9wT_SljZse9pDMprBVGO3Ojnmq474xfTd16UGSaCJdARK12S3CHNWz0oYqIwKEC3hG2mKgvxoJoHgs_ODFiJbXwQ3gcmbQOMwPG3EXakyZOBmukFXRQvmGkUdVIJd1GZzG4EfvPdB6ycCA&storeId=5867&couponState=na&bkt=2482&/ip/Nest-x-Yale-Lock-Satin-Nickel-with-Nest-Connect/783652471
423312215,FEBFOXS Baby Monitor Security Camera WiFi Indoor 360 Degree Smart 1080P Pet Camera Home Nanny Elderlywith Motion Detection Night Vision Two Way Audio,Febfoxs,"
☀ ADVANCED 1080P FULL HD NIGHT VISION - 1080P Full HD live streaming of FEBFOXS baby monitor helps monitor your baby from anywhere in real-time by using your mobile device. With built-in IR LEDs, you can see everything clearly in the dark without disturbance. So you can 24/7 keep an eye on your baby.
☀ CLEAR TWO-WAY AUDIO - Equipped with high-sensitivity and anti-noise microphone and speaker for clear two-way audio conversations, our video baby monitor allows you to talk back promptly to soothe the crying baby.
☀ EXCELLENT USER EXPERIENCE - The installation and configuration are so easy. Our wifi baby monitor can be easily mounted on your wall, ceiling, or table. With our APP, you can share the baby happy moment with family members so everyone can have access to its live stream and video recordings.
☀ SMART ACTIONS - As one of the most user-friendly security cameras, our baby monitor provides you a way to set your lights to turn on when your camera detects motion with Smart Actions, which allow you to create interactions between your camera and other devices.
☀ PRIVACY PROTECTION - This camera supports up to 128GB SD card local storage (SD card not included) and cloud storage. It transmits data via a secure channel with HTTPS technology, no data will be shared publicly through the Internet and no other devices can access your camera.",,https://i5.walmartimages.com//seo/FEBFOXS-Baby-Monitor-Security-Camera-WiFi-Indoor-360-Degree-Smart-1080P-Pet-Camera-Home-Nanny-Elderlywith-Motion-Detection-Night-Vision-Two-Way-Audio_be932a45-38b5-4fdf-95e3-707288dab331.8e38f31cf51e34f0068d152af935b194.jpeg,https://wrd.walmart.com/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=2&tax=3944_1229875_6357978_5718781_9232158&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FFEBFOXS-Baby-Monitor-Security-Camera-WiFi-Indoor-360-Degree-Smart-1080P-Pet-Camera-Home-Nanny-Elderlywith-Motion-Detection-Night-Vision-Two-Way-Audio%2F423312215%3Fathbdg%3DL1600%26adsRedirect%3Dtrue&adUid=1eef5158-bea7-4853-9344-69f9ea53e4ac&mloc=sp-search-middle&pltfm=desktop&pgId=smart%20camera&pt=search&spQs=MwUbZSf4MhnNJ4KcSVRjR46IdgGv_z48gGywvT3lF94H2iwmBjX4q5NVpdrQMc_fjgfM11SVFAEKkzt9qQo3208wQU32r89XlTCLYtZU6ZmMAI-Vpi-8Ct6q4IJ_AVIPDCeX41u9vDspG_kVFlRmhjpZCrZdulEGgbIa3T1l4ebUbNQcqqoGglTuMh92vLyXZOVKVN7iZqSiPWzY2i5thOqeUkuzemiGjAkJEVPvpWU&storeId=5867&couponState=na&bkt=ace_3121%7Ccoldstart_off%7Csearch_%22search_ranking_solr_decoupling%22%7Csearch_mp_pick_up&athbdg=L1600
488246144,ANRAN Wireless Solar Security Camera Outdoor 360 View 2K Smart Siren Spotlights Color Night Vision PIR Human Detection Pan Tilt Control 2 Way Talk,ANRAN,"
??Parameter of wifi Battery IP camera


  Battery: 10000 mAh , 60~90 days keep wroking
Type: Outdoor, IP65
Solar panel: 5w solar panel,  fast chargeing for battery
PIR distance: 5~8 meters
Image Sensor: 1/3"" Cmos Sensor
Manufacturer Warranty: 1 year
Connectivity: Wireless, Wi-Fi
Response Time: 10ms
Upgraded 5dbi WiFi Antenna: ensure more stable WiFi connection
  Features: Two-way Audio, Dual-antenna, Wi-Fi, Waterproof, Wall Mounted, Sleep Mode, Self Adhesive, Plug in, Outdoor/Weatherproof, Colorful Night Vision, Motion/PIR Activated, IP Surveillance Camera, Clock, Bracket
  Smart Home Protocol:  2.4Ghz Wi-Fi
Color Mode: Color Day, B&W Night/ Full color day and night option
Lens: 3.6mm(line of sight distance longer than 2.8mm, about 1.5 times)
  Maximum Resolution: 2K(QHD)
Frame Rate: 25fps, 3.0 Megapixels(2304P*1296P)
Lens: a digital zoom camera with 355° Pan 120° Tilt
??Pack list:


  1 pc ANRAN Battery WiFi Camera
1 pc solar panel 
1 pc Quick Installation Guide
1 pc USB Charging Cable
2 pc Screw Pack",,https://i5.walmartimages.com//seo/ANRAN-Wireless-Solar-Security-Camera-Outdoor-360-View-2K-Smart-Siren-Spotlights-Color-Night-Vision-PIR-Human-Detection-Pan-Tilt-Control-2-Way-Talk_e0fbbcb9-c771-480c-ad50-2bb83dbba6cf.6394a415a9e31c12d9e7561892b912b1.jpeg,https://wrd.walmart.com/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=3&tax=3944_1229875_6357978_5718781_9232158&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FANRAN-Wireless-Solar-Security-Camera-Outdoor-360-View-2K-Smart-Siren-Spotlights-Color-Night-Vision-PIR-Human-Detection-Pan-Tilt-Control-2-Way-Talk%2F488246144%3FadsRedirect%3Dtrue&adUid=1eef5158-bea7-4853-9344-69f9ea53e4ac&mloc=sp-search-middle&pltfm=desktop&pgId=smart%20camera&pt=search&spQs=4enPBPnpbZClbKQ15s67W6vM2EEPBObG1TMkEOX1ssqf3TRm1rbhY4ED_wxwEibSXo6XJt-g__jqHGROu26ltZo1bW-fqQgm2kIlsXfQzeu-7RZtIqy_X7J8ecIAVFQ2ymMHCChrkckbsoKepY25LBR4MdTUIhzHJikmISU02QrUbNQcqqoGglTuMh92vLyXZOVKVN7iZqSiPWzY2i5thOqeUkuzemiGjAkJEVPvpWU&storeId=5867&couponState=na&bkt=ace_3121%7Ccoldstart_off%7Csearch_%22search_ranking_solr_decoupling%22%7Csearch_mp_pick_up&/ip/ANRAN-Wireless-Solar-Security-Camera-Outdoor-360-View-2K-Smart-Siren-Spotlights-Color-Night-Vision-PIR-Human-Detection-Pan-Tilt-Control-2-Way-Talk/488246144
575319561,Litokam Indoor Security Camera Smart Pet Baby Wireless WIFI Monitor Two Way Audio Alexa APP 2 Pack Supports Only 2 4Ghz Wi Fi,littlelf,"
【Advanced Night Vision & 2-Way Audio】IR night vision up to 33 ft. for extreme low light environment, ensuring your high-quality view of your home even in complete darkness. Our indoor security camera allows two-way communication with your loved ones via your smartphone at anywhere.
【Human Motion Detection & Real Time Alerts】Our home camera supports human being filtering function which can reduce false alarms caused by light changes or insect flying. Alert notifications will be sent to your phone immediately if a human motion is detected. Adjust the sensitivity of detection to ensure that you will not be disturbed by frequent alarms.
【14-day Free Cloud & Max 128G Micro SD Card Storage(SD card not included)】This wifi camera supports cloud storage and built-in microSD slot. You will get a free continuous 14-day cycle recording for 14 days of all detected movements in the Cloud to make sure you can playback the video records at anytime and don't miss any good moment.
【Work with APP & Stylish and Compact Design 】The pet camera can be install in any where such as living room, baby room and office. It does not take up space at all, but brings a real-time monitoring environment with a larger field of view. The home security camera works with 2.4GHz Wi-Fi networks (Not support to 5GHz).Connect the APP to display the live feed of your wifi camera directly on the screen of your Show.
【Multi-users & Multiple View】The baby monitor supports device sharing（iPhone and Android devices), allowing multiple users to watch the camera's real-time monitoring at the same time, you could share the happy moments of life with relatives and friends.The wireless camera also can add multiple cameras and display 16 live videos on one screen, more convenient for you to view multiple rooms in your home at the same time.",,https://i5.walmartimages.com//seo/Litokam-Indoor-Security-Camera-Smart-Pet-Baby-Wireless-WIFI-Monitor-Two-Way-Audio-Alexa-APP-2-Pack-Supports-Only-2-4Ghz-Wi-Fi_85ca370d-a03c-4beb-853d-6f01d37b5779.7bcb17190106f1532a7db665cfe8d285.jpeg,https://wrd.walmart.com/track?bt=1&eventST=click&plmt=sp-search-middle~desktop~&pos=4&tax=3944_1229875_6357978_5718781_9232158&rdf=1&rd=https%3A%2F%2Fwww.walmart.com%2Fip%2FLitokam-Indoor-Security-Camera-Smart-Pet-Baby-Wireless-WIFI-Monitor-Two-Way-Audio-Alexa-APP-2-Pack-Supports-Only-2-4Ghz-Wi-Fi%2F575319561%3Fathbdg%3DL1600%26adsRedirect%3Dtrue&adUid=1eef5158-bea7-4853-9344-69f9ea53e4ac&mloc=sp-search-middle&pltfm=desktop&pgId=smart%20camera&pt=search&spQs=CSy-U52v4uO7SZ_mneUScEGAVT0UQeMu8RJVqRWFw4wB6zJohvqnRhlvKOGW__1cVRF55VhkNtBKAE52NFmDm6Q10NGhY2msCvnjRZfJpEOKJf1dVJCfxHRituK2rzY7XekULRpteHojG_8rN1ExaCxGGNddlu-TeUPmGsMPUBrUbNQcqqoGglTuMh92vLyXZOVKVN7iZqSiPWzY2i5thOqeUkuzemiGjAkJEVPvpWU&storeId=5867&couponState=na&bkt=ace_3121%7Ccoldstart_off%7Csearch_%22search_ranking_solr_decoupling%22%7Csearch_mp_pick_up&athbdg=L1600
1037479921,Merkury Smart 1080P Smart Indoor Camera with Voice Control Requires 2 4 GHz Wi Fi,Merkury Smart,"
1080P HD livestream: Watch your home in crystal-clear 1080p HD resolution, day or night. With a wide viewing angle of 135°, you can see everything that's happening in your home, even in the dark.
Motion sensor and night vision: Detect motion and capture clear footage even in low light conditions. The motion sensor has a detection range of up to 30 feet, and the night vision can see up to 26 feet in the dark.
2-way audio: Communicate with visitors from anywhere with the built-in microphone and speaker. Use the two-way audio to talk to visitors, pets, or even your children when they're home alone.
Night Vision: See what's happening even in complete darkness with the advanced night vision technology, making it easier to monitor your home 24/7.
Secure Storage: The camera supports up to a 128GB microSD card, ensuring that your data is stored safely and securely. 
Alexa and Google Home Compatible: The Merkury Innovations 1080p Smart Wi-Fi Camera works with Alexa and Google Home, enabling you to control the camera with your voice.
Built-in siren and motion zones: Deter intruders and focus on specific areas with the built-in siren and motion zones. The siren can be set to sound when motion is detected, and the motion zones can be customized to focus on specific areas of your home.
US-Based App: The camera comes with a US-based app, providing you with a user-friendly interface and convenient access to its features.",MERKURYSMART,https://i5.walmartimages.com//seo/Merkury-Smart-1080P-Smart-Indoor-Camera-with-Voice-Control-Requires-2-4-GHz-Wi-Fi_49fea91b-f2bc-4194-b73e-c333afd2529f.3072400928ac80ec0cead84177fd2388.jpeg,https://www.walmart.com/ip/Merkury-Smart-1080P-Smart-Indoor-Camera-with-Voice-Control-Requires-2-4-GHz-Wi-Fi/1037479921?athbdg=L1600&from=/search
850535193,Roku Smart Home Indoor Camera SE Wi Fi Wired Security Camera Motion Sound Detection,Roku,"
High-definition video: See an entire area with 1080p HD picture in full color—even at night—right in the Roku Smart Home mobile app.
Customizable detection zones: Set specific motion detection zones for your camera to minimize false alerts.
Smart motion & sound detection: Get an alert within seconds of your camera detecting motion or sound. Smart sensors detect body heat, so you don’t get false alerts for curtains blowing in the wind.
Watch on your TV: No, no—don’t get up. Pull up your camera’s feed on your Roku TV™ or Player by simply pressing a button on your remote or using Roku Voice.
Control from anywhere: View a live stream, adjust the motion detection zones, talk to your pet, and more—all from the Roku Smart Home mobile app.
Color night vision: No more shadowy figures. See dark areas in 1080p full color with a low-light amplifier that captures twice as much light.
Two-way audio: Say a quick “what’s up” to family members coming and going or have a full conversation with seamless two-way audio.
Smoke & CO notifications: Get an alert the moment your camera hears an alarm in your home.
Built-in siren: Scare off unwanted visitors (or your cat away from that plant) with an 80db siren.
More features are waiting: A Roku Smart Home Subscription unlocks 14-day cloud storage to review recordings, plus smart detection to identify person, pet, package, or car.
Roku Indoor Camera SE is intended for home monitoring only. Check your state laws regarding placement of security cameras in public spaces.
2.4GHz Wi-Fi® required.",SMARTHOME,https://i5.walmartimages.com//seo/Roku-Smart-Home-Indoor-Camera-SE-Wi-Fi-Wired-Security-Camera-Motion-Sound-Detection_958d2fb9-e02b-4aa7-90dc-7bdcaed4c156.049d1b0e9ba601e83c1d4373c42e7096.jpeg,https://www.walmart.com/ip/Roku-Smart-Home-Indoor-Camera-SE-Wi-Fi-Wired-Security-Camera-Motion-Sound-Detection/850535193?athbdg=L1600&from=/search
559118776,Roku Smart Home Indoor Camera SE 2 Pack Wi Fi Connected Wired Security Surveillance Camera with Motion Sound Detection,Roku,"
High-definition video: See an entire area with 1080p HD picture in full color—even at night—right in the Roku Smart Home mobile app.
Customizable detection zones: Set specific motion detection zones for your camera to minimize false alerts.
Smart motion & sound detection: Get an alert within seconds of your camera detecting motion or sound. Smart sensors detect body heat, so you don’t get false alerts for curtains blowing in the wind.
Watch on your TV: No, no—don’t get up. Pull up your camera’s feed on your Roku TV™ or Player by simply pressing a button on your remote or using Roku Voice.
Control from anywhere: View a live stream, adjust the motion detection zones, talk to your pet, and more—all from the Roku Smart Home mobile app.
Color night vision: No more shadowy figures. See dark areas in 1080p full color with a low-light amplifier that captures twice as much light.
Two-way audio: Say a quick “what’s up” to family members coming and going or have a full conversation with seamless two-way audio.
Smoke & CO notifications: Get an alert the moment your camera hears an alarm in your home.
Built-in siren: Scare off unwanted visitors (or your cat away from that plant) with an 80db siren.
More features are waiting: A Roku Smart Home Subscription unlocks 14-day cloud storage to review recordings, plus smart detection to identify person, pet, package, or car.
Roku Smart Home Indoor Camera SE (2-Pack) Wi-Fi®-Connected - Wired Security Surveillance Camera with Motion & Sound Detection is intended for home monitoring only. Check your state laws regarding placement of security cameras in public spaces.
2.4GHz Wi-Fi® required.",SMARTHOME,https://i5.walmartimages.com//seo/Roku-Smart-Home-Indoor-Camera-SE-2-Pack-Wi-Fi-Connected-Wired-Security-Surveillance-Camera-with-Motion-Sound-Detection_9e4e51e2-e8ec-4d48-ba2d-1640889d621b.bddc352ec85a8b4dea1f896beef281d0.jpeg,https://www.walmart.com/ip/Roku-Smart-Home-Indoor-Camera-SE-2-Pack-Wi-Fi-Connected-Wired-Security-Surveillance-Camera-with-Motion-Sound-Detection/559118776?athbdg=L1102&from=/search
705589285,Energizer Smart Wi Fi Black Security Camera 1080P Full HD USB Indoor use Cloud Micro SD Card Support,Energizer,"
Energizer Smart Wi-Fi Black Security Camera, 1080P Full HD, USB, Indoor use Cloud/Micro-SD Card Support
1080P Full HD Resolution: All your recordings will be in 1080P Full HD quality, giving you a complete overview of your space with crystal-clear images
Remote Access: Download the Energizer Connect App to your phone, view your existing recordings or see the live feed anytime, anywhere. Available from Google Play or the App Store
Instant Motion Alerts: If movement is detected in front of your device, instant motion alerts will be sent to your connected devices
2-Way Communication: Speak to anyone in front of your camera with our built-in 2-way audio settings.
Activity Zone Selection: Using the app, highlight which area in your camera’s view you want to receive motion alerts about
Cloud Storage/Micro-SD Card: Your recordings can be saved to a 128GB Micro-SD Card or uploaded to the Cloud. We offer a free 30-day trial of Cloud storage with every purchase. Micro-SD Card not included
Use Your Own Wi-Fi: You’ll be able connect to your own Wi-Fi in your home without any complicated setups or hubs required
Easy Installation: Place your camera on a desk or any other space, connect the 6ft USB power cable to a nearby outlet with the included USB power adapter. Must be plugged into outlet for continuous power.",,https://i5.walmartimages.com//seo/Energizer-Smart-Wi-Fi-Black-Security-Camera-1080P-Full-HD-USB-Indoor-use-Cloud-Micro-SD-Card-Support_e4426879-d812-482f-868c-36ecfd6bc650.7a9f74d1f47636b52a45c39268670f78.jpeg,https://www.walmart.com/ip/Energizer-Smart-Wi-Fi-Black-Security-Camera-1080P-Full-HD-USB-Indoor-use-Cloud-Micro-SD-Card-Support/705589285?athbdg=L1600&from=/search
